ARTIST,TITLE,FORMAT, PRICE,GENRE,CAT NUMBER,COUNTRY,SLEEVE,MEDIA,LABEL,EXTRA INFO,SKU
A DEAD FOREST INDEX,ANTIQUE,"10""", $ 10.00 ,ALTERNATIVE,OSCL003,AUS,EX,EX,OSCL Records,"10"" VINYL ISSUE OF THE 2012 EP FROM MELB GROUP",VF171
A LOOSE CONFEDERATION OF SATURDAY CITY-S,PLAGIARISM / HOW CAN I FACE TOMORROW,"7""", $ 30.00 ,ALTERNATIVE,SRR250757,USA,VG+,VG+,Slow River Records,"ULTRA RARE ONE-TIME 1995 COLLAB. FROM VIC CHESTNUTT, SPARKLEHORSE & MORE",V83635
A PERFECT CIRCLE,THIRTEENTH STEP: REISSUE,2LP, $ 60.00 ,ALTERNATIVE,MOVLP1114,EU,NEW,NEW,Music On Vinyl,2014 EU 180-GRAM AUDIOPHILE 2LP REPRESS OF THE CRITICALLY ACCLAIMED 2nd ALBUM FROM 2003,VZ5854
A TRIBE CALLED QUEST,MIDNIGHT MARAUDERS,1LP, $ 50.00 ,HIP HOP,1241414901,USA,NEW,NEW,Zomba Recording,3rd STUDIO ALBUM RELEASE FROM 1993: U.S. IMPORT JIVE RECORDS RE-PRESS,VY2575
A WILHELM SCREAM,LOSE YOUR DELUSION,1LP, $ 45.00 ,PUNK,CD080,USA,NEW,NEW,Creator-Destructor Records,"NEW 2022 STUDIO ALBUM FROM THE U.S. MELODIC HARDCORE BAND, THEIR 1st IN 9 YEARS! LIMITED COLOUR VINYL PRESSING",VY16024
A.D. SKINNER,A.D. SKINNER,"7""", $ 5.00 ,PUNK,3XR004,AUS,NEW,NEW,3xReaper Records,"4-TRACK 2014 7"" EP FROM ECSR ALUMNI",V7863
A.F.I.,BODIES (TRI-COLOUR),1LP, $ 50.00 ,PUNK,78154,USA,NEW,NEW,Rise Records,NEW 2021 STUDIO RELEASE & THEIR 1st IN 4 YEARS: LIMITED EDITION INDIE STORE EXCLUSIVE TRI-COLOUR PRESSING,VY14490
AALIYAH,ONE IN A MILLION: REISSUE,2LP, $ 45.00 ,R'N'B,ERE672,CAN,NEW,NEW,Black Ground Records,2022 2xLP REPRESS OF THE 2nd/1996 STUDIO ALBUM & 1st VINYL RE-ISSUE SINCE IT'S ORIGINAL RELEASE,VZ5972
ABBA,VOYAGE,1LP, $ 52.00 ,POP,3861481,EU,NEW,NEW,Polar Music International,2021 ALBUM & THEIR 1st IN 40 YEARS FROM THE SWEDES: STANDARD BLACK VINYL GATEFOLD PRESSING,VY15009
ABSTRACT RUDE,REJUVINATION,2LP, $ 15.00 ,HIP HOP,RSE01061,USA,G,VG+,Rhymesayers Entertainment,2xLP RHYMESAYERS U.S. PRESS OF THE 2009 ALBUM (Some water damage on sleeve),VT2406
AC/DC,FOR THOSE ABOUT TO ROCK,1LP, $ 80.00 ,ROCK,APLP053,AUS,VG,VG+,Albert Productions,1981 ALBUM: ORIG. 1st ALBERT PRODUCTIONS RED LABEL PRESS IN EMBOSSED GATEFOLD SLEEVE w/ PROMO INSERT,VS1526
AC/DC,LIVE AT RIVER PLATE,3LP, $ 65.00 ,ROCK,88765411751,EU,NEW,NEW,Columbia Records,2012 LIVE ALBUM FEAT. THE 2009 BUENOS AIRES CONCERT: EU 3xLP RED VINYL PRESS!,VX332
AC/DC,FLY ON THE WALL: REMASTER,1LP, $ 40.00 ,ROCK,E80210,USA,NEW,NEW,Epic Records,180-GRAM REMASTER OF THE 1985 ALBUM,VY2684
AC/DC,BLOW UP YOUR VIDEO: REMASTER,1LP, $ 45.00 ,ROCK,E80212,USA,NEW,NEW,Epic Records,2003 180-GRAM REMASTER OF THE 11th STUDIO ALBUM FROM 1988,VY2686
AC/DC,'74 JAILBREAK: REISSUE,1LP, $ 40.00 ,ROCK,E80200,EU,NEW,NEW,Columbia Records,2020 REPRESS OF THE '03 180-GRAM REMASTER FOR THE 1984 EP RELEASE,VY2688
AC/DC,STIFF UPPER LIP: REISSUE,1LP, $ 40.00 ,ROCK,88843049281,EU,NEW,NEW,Sony Music,2014 EU IMPORT VINYL RE-ISSUE OF THE 2000 ALBUM,VY4259
AC/DC,HIGHWAY TO HELL: REISSUE,1LP, $ 40.00 ,ROCK,5107641,EU,NEW,NEW,Columbia Records,180-GRAM EU REMASTER OF THE 1979 CLASSIC,VY4575
AC/DC,ROCK OR BUST,1LP, $ 50.00 ,ROCK,88875034841,EU,NEW,NEW,Columbia Records,2014 STUDIO ALBUM: 180-GRAM 2LP GATEFOLD w/ 3D COVER,VY4858
AC/DC,HIGH VOLTAGE: REISSUE,1LP, $ 45.00 ,ROCK,5107591,EU,NEW,NEW,Columbia Records,2009 EU 180-GRAM REISSUE OF U.S. ALBUM VERSION,VY6247
AC/DC,BACK IN BLACK: REISSUE,1LP, $ 48.00 ,ROCK,5107651,EU,NEW,NEW,Columbia Records,2009 EU REMASTER OF THE HUGE 1980 STUDIO ALBUM: 1st RELEASE w/ VOCALIST BRIAN JOHNSON,VY7181
AC/DC,LET THERE BE ROCK: REISSUE,1LP, $ 45.00 ,ROCK,5107611,USA,NEW,NEW,Columbia Records,2003 180-GRAM REPRESS OF THE 1977 ALBUM (USA VERSION),VY8126
AC/DC,FLICK OF THE SWITCH: REISSUE,1LP, $ 40.00 ,ROCK,5107671,EU,NEW,NEW,Sony Music,2003 EU RE-ISSUE OF THE '83 STUDIO ALBUM,VY8708
AC/DC,"IF YOU WANT BLOOD, YOU'VE GOT IT: REISSU",1LP, $ 45.00 ,ROCK,5107631,EU,NEW,NEW,Columbia Records,2009 EU 180-GRAM REPRESS OF THE 1978 RELEASE,VY12618
AC/DC,FOR THOSE ABOUT TO ROCK: REISSUE,1LP, $ 40.00 ,ROCK,5107661,EU,NEW,NEW,Columbia Records,EU GATEFOLD REISSUE OF THE 1981 ALBUM,VY12691
AC/DC,PWR/UP (YELLOW),1LP, $ 55.00 ,ROCK,19439816661,EU,NEW,NEW,Columbia Records,2020 STUDIO ALBUM: LIMITED EDITION YELLOW VINYL GATEFOLD PRESSING,VY15034
AC/DC,DIRTY DEEDS DONE DIRT CHEAP: REISSUE,1LP, $ 40.00 ,ROCK,5107601,EU,NEW,NEW,Columbia Records,2009 EU 180-GRAM REMASTER OF THE 1976 ALBUM w/ U.S. COVER & TRACKLISTING,VY16444
AC/DC,IRON MAN 2: SOUNDTRACK,2LP, $ 55.00 ,ROCK,88697661581,EU,NEW,NEW,Albert Productions,2010 180-GRAM 2xLP SOUNDTRACK FOR THE MARVEL FILM FEAT. 15 CLASSIC AC/DC TRACKS,VZ245
AC/DC,LIVE: REISSUE,2LP, $ 55.00 ,ROCK,5128361,EU,NEW,NEW,Columbia Records,2009 EU 180-GRAM 2xLP PRESS OF THE 1992 LIVE CONCERT,VZ2924
ACAB WEST,DO NOT RESUSCITATE,"12""", $ 35.00 ,HIP HOP,AE004,AUS,NEW,NEW,Insurgence Productions,"2020 LIMITED EDITION 4-TRACK RED/BLACK MARBLE COLOUR VINYL 12"" FROM SUNSHINE COAST, QLD HIP-HOP ARTIST",VO559
ACE OF BASE,ALL THAT SHE WANTS: RSD 2022,"12""", $ 55.00 ,POP,DEMREC988,UK,NEW,NEW,Demon Records,"UK RSD 2022 30th ANNIVERSARY PICTURE DISC PRESS OF THE HIT 12"" SINGLE",VO715
ACE OF BASE,GOLD,1LP, $ 40.00 ,POP,DEMREC549,UK,NEW,NEW,Demon Records,2019 DEMON RECORDS GREATEST HITS COMPILATION: 180-GRAM GOLD COLOUR VINYL,VY16490
ACID ATTACK,SUBURBIA'S DREAM,1LP, $ 30.00 ,PUNK,RADIO020,USA,EX,EX,Radio Raheem,2018 ANTHOLOGY RELEASE FROM THE UK82 PUNK OUTFIT: COMPLETE RECORDINGS + 16p BOOK,VS20195
ACTION BRONSON,ONLY FOR DOLPHINS,1LP, $ 48.00 ,HIP HOP,LVR01365,USA,NEW,NEW,Loma Vista Records,NEW 2020 STUDIO ALBUM FROM THE AMERICAN RAPPER,VY13423
ADELE,30,2LP, $ 70.00 ,POP,19439937971,EU,NEW,NEW,Columbia Records,NEW 2021 STUDIO RELEASE & HER 1st IN 6 YEARS: BLACK VINYL 180-GRAM 2LP SET,VZ5754
ADOLESCENTS,ADOLESCENTS: REISSUE,1LP, $ 40.00 ,PUNK,310031,USA,NEW,NEW,Frontiers Records,COLOUR VINYL REISSUE OF THE CLASSIC 1981 DEBUT,VY7335
ADOLESCENTS,THE COMPLETE DEMOS 1980-1986,1LP, $ 32.00 ,PUNK,310761,USA,NEW,NEW,Frontiers Records,2018 WHITE VINYL REPRESS OF THE EARLY RECORDINGS,VY13676
ADRIAN YOUNGE,THE AMERICAN NEGRO,2LP, $ 75.00 ,HIP HOP,JID001,USA,NEW,NEW,Jazz Is Dead,NEW 2021 STUDIO RELEASE FROM THE PROLIFIC AMERICAN PRODUCER/RAPPER/COMPOSER: 2LP SET IN TRI-FOLD JACKET,VZ5305
ADRIAN YOUNGE & ALI SHAHEED MUHAMMAD,JAZZ IS DEAD 6: GARY BARTZ,1LP, $ 50.00 ,HIP HOP,JID006LP,USA,NEW,NEW,Jazz Is Dead,VOL 6 & 2021 RELEASE PAIRING CONTEMPORARY PRODUCERS YOUNGE & MUHAMMAD w/ THE U.S. JAZZ SAXOPHONIST,VY14057
ADRIAN YOUNGE & ALI SHAHEED MUHAMMAD,JAZZ IS DEAD 7: JOAO DONATO,1LP, $ 48.00 ,HIP HOP,JID007LP,USA,NEW,NEW,Jazz Is Dead,VOL 7 & 2021 RELEASE PAIRING CONTEMPORARY PRODUCERS YOUNGE & MUHAMMAD w/ THE BRAZILIAN JAZZ & BOSSA NOVA PIANIST,VY14623
ADRIAN YOUNGE & ALI SHAHEED MUHAMMAD,JAZZ IS DEAD 8: BRIAN JACKSON,1LP, $ 48.00 ,HIP HOP,JID008LP,USA,NEW,NEW,Jazz Is Dead,VOL 8 & 2021 RELEASE PAIRING CONTEMPORARY PRODUCERS YOUNGE & MUHAMMAD w/ THE U.S. JAZZ KEYBOARDIST,VY14878
ADRIAN YOUNGE & ALI SHAHEED MUHAMMAD,JAZZ IS DEAD 4: AZYMUTH,2LP, $ 70.00 ,HIP HOP,JID004LP,USA,NEW,NEW,Jazz Is Dead,VOL 4 & 2020 RELEASE PAIRING CONTEMPORARY PRODUCERS YOUNGE & MUHAMMAD w/ THE LEGENDARY JAZZ-FUNK BRAZILIAN BAND,VZ4987
ADRIAN YOUNGE & ALI SHAHEED MUHAMMAD,JAZZ IS DEAD 5: DOUG CARN,2LP, $ 60.00 ,HIP HOP,JID005LP,USA,NEW,NEW,Jazz Is Dead,VOL 5 & 2021 RELEASE PAIRING CONTEMPORARY PRODUCERS YOUNGE & MUHAMMAD w/ THE U.S. JAZZ PIANIST,VZ5276
ADRIAN YOUNGE & ALI SHAHEED MUHAMMAD,JAZZ IS DEAD 9: INSTRUMENTALS,2LP, $ 55.00 ,HIP HOP,JID009LP,USA,NEW,NEW,Jazz Is Dead,2021 2xLP COLLECTION OF INSTRUMENTALS FROM THE JAZZ IS DEAD SERIES,VZ5703
ADRIANNE LENKER,ABYSSKISS,1LP, $ 35.00 ,ALTERNATIVE,LBJ275,USA,NEW,NEW,Saddle Creek Records,2018 SOLO ALBUM FROM THE BIG THIEF SINGER/SONGWRITER,VY14321
ADRIANNE LENKER,HOURS WERE THE BIRDS,1LP, $ 35.00 ,ALTERNATIVE,LPLBJ282,USA,NEW,NEW,Saddle Creek Records,2014 DEBUT ALBUM FROM THE BIG THIEF MEMBER: FIRST TIME 2018 VINYL PRESS ON SADDLE CREEK,VY16489
AENIGMATUM,DECONSECRATE,1LP, $ 48.00 ,METAL,SPIN138LP,USA,NEW,NEW,20 Buck Spin,NEW 2021 STUDIO RELEASE FROM THE PORTLAND DEATH METAL GROUP: BLACK VINYL PRESS ON 20 BUCK SPIN,VY14928
AEROSMITH,1971 - THE ROAD STARTS HEAR: RSDBF 2021,1LP, $ 40.00 ,ROCK,3830802,EU,NEW,NEW,UMC / Universal Music,"2021 RSD BLACK FRIDAY PRESS OF EARLY RECORDINGS: LIMITED TO 10,000 COPIES",VY15332
AEROSMITH,1971 - THE ROAD STARTS HEAR: RSDBF 2021,1LP, $ 40.00 ,ROCK,B003403601,USA,NEW,NEW,Universal Music,"2021 RSD BLACK FRIDAY PRESS OF EARLY RECORDINGS: LIMITED TO 10,000 COPIES",VY15562
AESOP ROCK,APPLESEED: REISSUE COLOUR,1LP, $ 42.00 ,HIP HOP,RSE0326LPC1,USA,NEW,NEW,Rhymesayers Entertainment,2021 1st TIME VINYL PRESS OF THE 1999 EP: CLEAR & BLACK SMOKE VINYL PRESSING,VY14652
AESOP ROCK,FLOAT: REISSUE GREEN,2LP, $ 50.00 ,HIP HOP,RSE324LP-C2,USA,NEW,NEW,Rhymesayers Entertainment,2020 20th ANNIVERSARY GREEN COLOUR VINYL & COVER ART OF THE 2nd ALBUM FROM 2000,VZ4875
AGAINST ALL LOGIC,2017-2019,3LP, $ 60.00 ,ALTERNATIVE,OP053,USA,NEW,NEW,Other People,2020 RELEASE FROM NICOLAS JAAR: 3xLP IMPORT SET FROM OTHER PEOPLE RECORDS,VX242
AGAINST ME!,REINVENTING AXL ROSE: REISSUE,1LP, $ 35.00 ,PUNK,FAT1101,USA,NEW,NEW,Fat Wreck Chords,2019 FAT WRECK CHORDS 1st TIME PRESS OF THE 2002 DEBUT STUDIO ALBUM,VY12063
AGENCY,HIGH HEAT,"7""", $ 5.00 ,ALTERNATIVE,CUBE070,,NEW,NEW,helloSquare,"2015 DEBUT 7"" SINGLE FROM CANBERRA 4-PIECE",V71074
"AGGROLITES, THE",REGGAE NOW!,1LP, $ 30.00 ,REGGAE,PPR2371,USA,NEW,NEW,Pirate's Press Records,2019 STUDIO ALBUM FROM THE THE LOS ANGELES REGGAE/SKA GROUP,VY14248
"AGGROLITES, THE",RUGGED ROAD,1LP, $ 30.00 ,PUNK,PPR2751,USA,NEW,NEW,Pirateria Fonografica,2020 PIRATES PRESS RECORDS REPRESS OF THE 2011 STUDIO ALBUM,VY15033
"AGGROLITES, THE",THE AGGROLITES,2LP, $ 45.00 ,PUNK,PPR2711,USA,NEW,NEW,Pirate's Press Records,2020 U.S. IMPORT PIRATES PRESS 2xLP RE-ISSUE OF THE 2006 ALBUM,VZ5955
A-HA,HUNTING HIGH AND LOW: REISSUE COLOUR,1LP, $ 50.00 ,ROCK,RCD1-25300,USA,NEW,NEW,Rhino Entertainment,2022 'START YOUR EAR OFF RIGHT' GREEN VINYL REPRESS OF THE 1985 CLASSIC,VY15832
"AINTS, THE",LIVE AT MARRICKVILLE BOWLO,1LP, $ 45.00 ,ROCK,FATAL003,AUS,NEW,NEW,Fatal Records,"RECORDED LIVE TO A PACKED HOUSE AT MARRICKVILLE BOWLO, 2018",VY14927
AIR SUPPLY,LOST IN LOVE,1LP, $ 10.00 ,POP,ZBZL240,AUS,VG,VG+,Big Time Records,1980 STUDIO ALBUM FROM THE OZ SOFT ROCK GROUP,VS12660
AKIKO YANO,JAPANESE GIRL: REISSUE,1LP, $ 55.00 ,POP,WWSLP17,EU,NEW,NEW,Wewantsounds,2019 VINYL RELEASE 1st TIME OUTSIDE OF JAPAN! LANDMARK DEBUT ALBUM FROM 1976,VY14901
AKIKO YANO,AI GA NAKUCHA NE: REISSUE,1LP, $ 55.00 ,POP,WWSLP47,EU,NEW,NEW,Wewantsounds,NEW 2021 DELUXE GATEFOLD REMASTER OF THE 1982 JAPANESE SYNTH-POP CLASSIC w/ 24p BOOKLET,VY15119
AL DI MEOLA,ELECTRIC RENDEZVOUS,1LP, $ 20.00 ,JAZZ,SBP237736,AUS,VG+,EX,CBS Records,1982/5th ELECTRIC STUDIO ALBUM w/ PACO DE LUCIA & MORE: AUS CBS PRESSING,VS21226
"AL DI MEOLA, JOHN MCLAUGHLIN & PACO DE L",SATURDAY NIGHT IN SAN FRANCISCO,1LP, $ 60.00 ,JAZZ,0217243EMU,EU,NEW,NEW,Ear Music,"2022 RELEASE AND FOLLOW-UP TO THE ACCLAIMED 1981 ""FRIDAY NIGHT"" ALBUM",VY16332
AL GREEN,GREATEST HITS,1LP, $ 30.00 ,SOUL,FP11351,USA,NEW,NEW,Fat Possum Records,180-GRAM FAT POSSUM RECORDS VINYL RE-ISSUE OF THE 1975 COMP + D/L CODE,VY5816
AL GREEN,LET'S STAY TOGETHER: REISSUE,1LP, $ 30.00 ,SOUL,FP11371,USA,NEW,NEW,Fat Possum Records,U.S. IMPORT FAT POSSUM RE-ISSUE OF THE 1972 LP,VY5817
AL GREEN,I'M STILL IN LOVE WITH YOU: REISSUE,1LP, $ 30.00 ,SOUL,FP11361,USA,NEW,NEW,Fat Possum Records,2009 FAT POSSUM U.S. IMPORT RE-ISSUE OF THE '72 ALBUM,VY5841
AL KOOPER,ACT LIKE NOTHING'S WRONG,1LP, $ 10.00 ,ROCK,L36106,AUS,VG,VG+,United Artists Records,OZ PRESS OF THE 1976 SOLO LP FROM THE LEGENDARY GUITARIST,VS21059
ALAN VEGA,MUTATOR: COLOUR,1LP, $ 42.00 ,ALTERNATIVE,SBR271LPC1,USA,NEW,NEW,Sacred Bones Records,LIMITED DARK RED VINYL PRESS OF THE UNRELEASED 1995-1996 RECORDINGS,VY14381
ALANIS MORISSETTE,SUCH PRETTY FORKS IN THE ROAD,1LP, $ 35.00 ,POP,68794LP,USA,NEW,NEW,Crush Music,NEW 2020 STUDIO ALBUM & ANTICIPATED 9th FULL LENGTH FROM MORRISETTE,VY12966
ALBATROSS,MURDER / CASPERS THEME,"7""", $ 5.00 ,ALTERNATIVE,LA002,AUS,EX,EX,Life Aquatic,2012 SINGLE FROM THE SYDNEY ELECTRONIC DUO,V83347
ALBERT HAMMOND JR.,OFF CYCLE: RSDBF 2019,"10""", $ 20.00 ,ALTERNATIVE,RBR0728VL,USA,NEW,NEW,Red Bull Records,"2019 RSDBF EXCLUSIVE BLUE COLOURED 10"" OF NEW SOLO MATERIAL: LIMITED TO 1500",VE251
ALEX CAMERON,LIVE IN SAN FRANCISCO,1LP, $ 35.00 ,ALTERNATIVE,CF112,USA,NEW,NEW,Castle Face Records,2019 LIVE ALBUM RELEASE ON CASTLEFACE RECORDS + D/L CODE,VY11349
ALEX CAMERON,OXY MUSIC: COLOUR,1LP, $ 45.00 ,ALTERNATIVE,SC449LP-C4,USA,NEW,NEW,Secretly Canadian,BRAND NEW 2022 SOLO ALBUM (EX-SEEKAE) ON LIMITED PURPLE BLAST COLOUR VINYL,VY15649
ALEX CHILTON,LIKE FLIES ON SHERBERT: REISSUE COLOUR,1LP, $ 40.00 ,ROCK,LPSUND5588C,USA,NEW,NEW,Sunday Best Recordings,NEW TURQUOISE COLOUR VINYL RE-ISSUE OF THE 1979 SOLO DEBUT POST-BIG STAR,VY14846
ALEXISONFIRE,OTHERNESS,2LP, $ 60.00 ,PUNK,DAV322,CAN,NEW,NEW,Dine Alone Records,"NEW 2022 STUDIO RELEASE FROM THE CANADIAN HARDCORE LEGENDS, THEIR 1st IN OVER A DECADE: BLACK VINYL PRESSING",VZ6253
ALICE COLTRANE,KIRTAN: TURIYA SINGS,2LP, $ 55.00 ,JAZZ,B003370601,USA,NEW,NEW,Impulse! Recordings,NEW 2021 ARCHIVAL RELEASE OF A 1982 CASSETTE RELEASE OF DEVOTIONAL SONGS,VZ5540
ALICE COOPER,ONLY MY HEART TALKIN',"7""", $ 15.00 ,ROCK,6557587,AUS,EX,VG+,Epic Records,"1990 OZ EPIC RECORDS PICTURE SLEEVE 7"" b/w ONLY WOMEN BLEED (LIVE)",V82316
ALICE COOPER,BREADCRUMBS,"10""", $ 25.00 ,ROCK,0214216EMU,EU,NEW,NEW,Ear Music,"2019 EP FOR HIS 'OL BLACK EYES IS BACK' TOUR: LIMITED & NUMBERED TO 20,000",VE248
ALICE IN CHAINS,WE DIE YOUNG: RSD 2022,"12""", $ 35.00 ,ALTERNATIVE,19439784651,EU,NEW,NEW,Columbia Records,"RSD 2022 & 1st TIME PRESS OF THE 1990 PROMO ONLY EP: LIMITED TO 14,350 COPIES",VO704
ALIEN NOSEJOB,DEATH OF THE VINYL BOOM,"7""", $ 10.00 ,ALTERNATIVE,UF002,AUS,NEW,NEW,Self Released / Independent,2018/2nd SINGLE FROM MELB PUNK BAND (JAKE FROM AUSMUTEANTS etc.),V71400
ALIEN NOSEJOB,VARIOUS FADS & TECHNOLOGICAL ACHIEVEMENT,1LP, $ 20.00 ,ALTERNATIVE,ANT045LP,AUS,NEW,NEW,Antifade Records,"2018 DEBUT LP FROM MELB SOLO SYNTH-PUNK PROJECT (JAKE ROBERTSON OF AUSMUTEANTS, SCHOOL DAMAGE ETC.)",VY10521
ALIEN NOSEJOB,ONCE AGAIN THE PAST BECOMES THE PRESENT,1LP, $ 25.00 ,ALTERNATIVE,ANT072,AUS,NEW,NEW,Antifade Records,NEW 2020 LP FROM JAKE ROBERTSON (AUSMUTEANTS ETC.) SOLO PUNK SIDE-PROJECT!,VY13617
ALIEN WEAPONRY,TANGAROA,2LP, $ 45.00 ,METAL,NPR959VINYL,EU,NEW,NEW,Napalm Records,NEW 2021 STUDIO RELEASE FROM THE NEW ZEALAND BAND: NAPALM RECORDS 2xLP GATEFOLD PRESS,VZ5645
ALL,ALLROY SEZ,1LP, $ 45.00 ,PUNK,CR001,USA,NEW,NEW,Cruz Records,U.S. IMPORT VINYL RE-ISSUE OF THE CLASSIC '88 DEBUT ALL RECORD,VY2147
ALL FOR NOTHING,MILES & MEMORIES,1LP, $ 10.00 ,PUNK,DRA045,EU,VG+,EX,GSR Music,LIMITED WHITE COLOUR VINYL PRESS OF THE 2009 ALBUM FROM DUTCH PUNKS,VS11720
ALL THEM WITCHES,LIVE ON THE INTERNET: RSD 2021,3LP, $ 60.00 ,ALTERNATIVE,NW5512LP,USA,NEW,NEW,New West Records,2021 RSD BLACK FRIDAY 3xLP RANDOM COLOURED NUMBERED SET: LIMITED TO 2800 COPIES,VX305
ALLNITERS,D-D-D-DANCE,1LP, $ 15.00 ,ROCK,POW6060,AUS,VG,VG+,Powderworks Records,AUSSIE SKA-POP: ORIG. OZ POWDERWORKS GATEFOLD '83 PRESSING,VS1728
ALT-J,THE DREAM: WHITE,1LP, $ 52.00 ,ALTERNATIVE,INFECT658LP5,EU,NEW,NEW,Infectious Records,BRAND NEW 2022 STUDIO ALBUM ON LIMITED WHITE VINYL,VY15799
AMALGAMATED SONS OF REST,AMALGAMATED SONS OF REST,1LP, $ 45.00 ,ALTERNATIVE,GLX16,USA,NEW,NEW,Galaxia Records,RARE 2002 COLLAB. FROM WILL OLDHAM (BONNIE PRINCE BILLY) & JASON MOLINA (SONGS: OHIA),VY15981
AMBER INN,SERENITY IN HAND,"7""", $ 5.00 ,PUNK,EBULLITION26,USA,VG+,VG+,Ebullition,1995 SINGLE ON EBULLITION,V83133
AMBITIONS,STRANGER,1LP, $ 15.00 ,PUNK,B9R86,USA,EX,EX,Bridge Nine Records,2007 DEBUT ALBUM ON BRIDGE 9 RECORDS: WHITE w/ GREEN & ORANGE SPLATTER - 1st PRESSING,VS3722
AMBULARE,PART OF THE PROBLEM,"12""", $ 10.00 ,PUNK,AMB002,AUS,NEW,NEW,Self Released / Independent,"NEW 2017 6-TRACK 12"" EP FROM SYD PUNK/ROCK TRIO",VO109
